PlayerTestSessionId,TestDate,PlayerIdentifier,TestSessionSeq,LeftAvgPropulsiveForceNewtons,RSI,AvgRelativePropulsiveForcePct,PeakRelativeBrakingPowerWattsPerKilogram,RelativePropulsiveImpulseNewtonSecondsPerKilogram,LRAvgBrakingForcePct,AvgPropulsiveVelocityMetersPerSecond,PeakBrakingPowerWatts,StiffnessNewtonMeters,LandingStiffnessNewtonMeters,LeftAvgBrakingForceNewtons,BrakingPhaseSeconds,PositiveNetImpulseNewtonSeconds,AvgBrakingForceNewtons,PeakPropulsivePowerWatts,PropulsiveNetImpulseNewtonSeconds,ForceAtMinDisplacementNewtons,LRAvgLandingForcePct,RightAvgLandingForceNewtons,LeftAvgBrakingRFDNewtonsPerSecond,PositiveImpulseNewtonSeconds,PeakBrakingForceNewtons,LeftForceAtPeakPropulsiveForceNewtons,LeftForceAtPeakBrakingForceNewtons,RelativeBrakingImpulseNewtonSecondsPerKilogram,LeftForceAtPeakLandingForceNewtons,LRBrakingImpulseIndexPct,AvgRelativeBrakingPowerWattsPerKilogram,TimeToTakeoffSeconds,FlightTimeSeconds,RightAvgBrakingForceNewtons,RelativeBrakingNetImpulseNewtonSecondsPerKilogram,LRPeakLandingForcePct,AvgBrakingVelocityMetersPerSecond,AvgLandingForceNewtons,PropulsivePhasePct,BrakingImpulseNewtonSeconds,LRPeakPropulsiveForcePct,LeftAvgLandingForceNewtons,JumpMomentumKilogramMetersPerSecond,BrakingNetImpulseNewtonSeconds,CountermovementDepthMeters,LRAvgPropulsiveForcePct,LRAvgBrakingRFDPct,RightForceAtPeakPropulsiveForceNewtons,MRSI,UnweightingPhasePct,LRPropulsiveImpulseIndexPct,LRPeakBrakingForcePct,AvgBrakingPowerWatts,BrakingRFDNewtonsPerSecond,PeakRelativePropulsivePowerWattsPerKilogram,LRLandingImpulseIndexPct,SystemWeightNewtons,BrakingPhasePct,PropulsivePhaseSeconds,JumpHeightMeters,PeakRelativeBrakingForcePct,RightAvgBrakingRFDNewtonsPerSecond,PeakPropulsiveForceNewtons,RightForceAtPeakBrakingForceNewtons,TakeoffVelocityMetersPerSecond,PropulsiveImpulseNewtonSeconds,ImpulseRatio,RelativePropulsiveNetImpulseNewtonSecondsPerKilogram,UnweightingPhaseSeconds,RightAvgPropulsiveForceNewtons,AvgRelativePropulsivePowerWattsPerKilogram,AvgRelativeBrakingForcePct,AvgPropulsivePowerWatts,PeakVelocityMetersPerSecond,RightForceAtPeakLandingForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,RelativePeakLandingForcePct,AvgPropulsiveForceNewtons,PeakRelativePropulsiveForcePct
24,9/13/2022,174,3,1078,0.790000021,213,,,1.340000033,1.669999957,-1622,-5580,-38,781,0.25,446,1541,6665,311,2232,-37.11000061,535,2717,966,2229,1222,1119,3.75,2460,2.680000067,-12.60000038,0.810000002,0.639999986,760,1.340000033,3.579999924,-0.910000026,780,35,378.9299927,1.159999967,245,310,135,-0.400000006,2.24000001,8.31000042,1194,0.589999974,35,4.389999866,0.400000006,-1273,5016,65.95999908,,991,31,0.280000001,0.479999989,225,2300,2416,1110,3.069999933,586.9699707,2.309999943,3.079999924,0.280000001,1030,33.34000015,155,3369,3.140000105,2290,4750,,479,2108,244
27,10/17/2022,174,3,1182,0.879999995,226,,,4.559999943,1.789999962,-2263,-7487,-12772,1023,0.170000002,472,1957,6723,315,2630,-16.12000084,815,4934,888,2630,1382,1372,3.150000095,2637,8.739999771,-16.64999962,0.709999979,0.620000005,934,1.519999981,7.630000114,-0.980000019,1404,35,323.9700012,4.619999886,589,314,157,-0.349999994,3.769999981,1.110000014,1260,0.670000017,42,7.289999962,4.329999924,-1712,9759,65.40000153,-27.78000069,1008,23,0.25,0.479999989,261,4825,2642,1258,3.049999952,564.0200195,2.00999999,3.059999943,0.289999992,1096,36.43999863,194,3746,3.130000114,2263,4900,790,486,2278,262
14,6/21/2022,174,1,1096,0.75,209,,,7.420000076,1.580000043,-1508,-5705,0,802,0.25,433,1493,6728,309,1994,35.83000183,166,2587,967,1997,1277,1119,3.690000057,3118,13.81999969,-10.88000011,0.819999993,0.610000014,691,1.220000029,18.70999908,-0.800000012,519,35,374.75,0.949999988,352,308,124,-0.349999994,5.28000021,30.53000069,1253,0.569999993,34,9.979999542,12.06999969,-1106,3964,66.16999817,,997,31,0.289999992,0.469999999,200,1377,2530,878,3.029999971,592.2299805,2.480000019,3.039999962,0.280000001,986,31.65999985,150,3219,3.109999895,2135,5253,,527,2082,254
22,9/6/2022,174,1,1053,0.74000001,205,,,-2.75999999,1.570000052,-1475,-5540,-50,701,0.280000001,430,1441,6686,308,1936,-22.19000053,512,1630,1000,1934,1285,962,3.910000086,2464,-5.369999886,-10.01000023,0.810000002,0.600000024,740,1.200000048,-3.539999962,-0.75,838,36,397.1799927,2.390000105,326,307,122,-0.349999994,3.319999933,-3.329999924,1225,0.569999993,30,6.409999847,-0.519999981,-1017,3373,65.80999756,,997,34,0.300000012,0.469999999,194,1743,2510,972,3.019999981,602.3599854,2.529999971,3.039999962,0.239999995,986,30.87999916,145,3137,3.099999905,2645,5109,,513,2039,252
13,6/14/2022,174,2,1043,0.790000021,209,,,-5.320000172,1.710000038,-1858,-6065,-25,798,0.209999993,458,1685,6325,312,2393,23.73999977,268,3399,955,2392,1150,1149,3.519999981,1940,-10.14000034,-14.44999981,0.779999971,0.620000005,887,1.429999948,5.869999886,-0.980000019,703,37,358.1799927,-3.930000067,435,310,146,-0.389999986,-0.189999998,4.170000076,1244,0.610000014,36,-0.389999986,-3.930000067,-1469,6526,62.20999908,,998,27,0.289999992,0.479999989,240,3127,2394,1243,3.049999952,596.6099854,2.140000105,3.069999933,0.280000001,1047,33.13999939,169,3370,3.119999886,1725,3665,,367,2089,240
11,6/7/2022,174,2,1037,0.74000001,203,,,-2.25,1.690000057,-1840,-5292,0,766,0.25999999,462,1567,6365,316,2234,-39.47999954,240,2556,1029,2230,1145,1109,3.960000038,3605,-4.429999828,-13.07999992,0.839999974,0.620000005,801,1.419999957,4.130000114,-0.930000007,345,36,405.3200073,0.660000026,104,314,145,-0.419999987,2.059999943,8.260000229,1130,0.569999993,33,4.039999962,-0.540000021,-1338,4722,62.22000122,,1004,31,0.310000002,0.479999989,222,2166,2275,1121,3.069999933,623.210022,2.170000076,3.089999914,0.270000011,996,32.00999832,156,3275,3.150000095,3319,6924,,690,2033,227
4,5/5/2022,174,2,1097,0.660000026,203,,,0.689999998,1.789999962,-2114,-6471,-19965,914,0.200000003,466,1816,6415,309,2529,16.73999977,631,4137,965,2530,1322,1321,3.440000057,4203,1.340000033,-15.81000042,0.930000007,0.610000014,902,1.50999999,18.72999954,-1.00999999,1516,32,356.0799866,4.510000229,885,309,157,-0.389999986,6.329999924,7.239999771,1208,0.49000001,47,11.92000008,4.429999828,-1637,7716,61.91999817,28.70000076,1016,21,0.300000012,0.449999988,249,3579,2530,1209,2.980000019,609.3099976,1.970000029,2.99000001,0.439999998,966,32.59999847,179,3378,3.130000114,2877,7080,610,697,2063,249
16,7/12/2022,174,3,1015,0.75,206,,,4.960000038,1.639999986,-1691,-5454,-47,822,0.230000004,429,1566,6108,295,2146,20.17000008,323,2458,923,2144,1131,1100,3.549999952,3107,9.449999809,-12.82999992,0.839999974,0.629999995,744,1.350000024,6.440000057,-0.889999986,808,34,350.8599854,-1.909999967,486,295,134,-0.389999986,1.539999962,-6.03000021,1175,0.540000021,39,3.019999981,2.609999895,-1269,5231,61.75999832,,970,27,0.289999992,0.449999988,221,2773,2306,1044,2.980000019,572.5100098,2.210000038,2.980000019,0.330000013,984,31.63999939,161,3129,3.059999943,2731,5838,,602,1999,238
18,8/9/2022,174,1,993,0.519999981,190,,,3.869999886,1.5,-973,-4909,-123,637,0.389999986,385,1227,6115,294,1892,-38.63000107,631,1240,1098,1889,1184,994,4.730000019,2494,7.449999809,-7.46999979,1.090000033,0.560000002,590,0.910000026,18.22999954,-0.649999976,911,30,478.3900146,0.550000012,280,293,92,-0.389999986,5.590000153,8.020000458,1171,0.389999986,34,10.56999969,5.239999771,-755,2297,60.5,,992,36,0.330000013,0.430000007,191,1056,2355,895,2.900000095,619.8599854,3.200000048,2.910000086,0.370000005,888,27.44000053,124,2773,2.99000001,1725,4219,,426,1881,238
27,10/17/2022,174,5,1158,0.899999976,222,,,-4.340000153,1.830000043,-2297,-7419,-46,947,0.159999996,478,1979,6722,321,2753,24.78000069,291,5663,905,2754,1349,1348,3.119999886,2491,-8.369999886,-17.11000061,0.699999988,0.620000005,1033,1.519999981,-5.320000172,-1.00999999,774,37,321.730011,-2.029999971,483,320,157,-0.370000005,3.019999981,6.210000038,1405,0.699999988,39,5.820000172,-2.109999895,-1764,10663,65.18000031,39.74000168,1012,23,0.25999999,0.49000001,272,5000,2754,1406,3.099999905,583.4099731,2.049999952,3.119999886,0.270000011,1090,36.58000183,196,3772,3.180000067,2771,5262,3310,520,2247,272
