PlayerTestSessionId,TestDate,PlayerIdentifier,TestSessionSeq,LeftAvgPropulsiveForceNewtons,RSI,AvgRelativePropulsiveForcePct,LRAvgBrakingForcePct,AvgPropulsiveVelocityMetersPerSecond,PeakBrakingPowerWatts,StiffnessNewtonMeters,LandingStiffnessNewtonMeters,LeftAvgBrakingForceNewtons,BrakingPhaseSeconds,PositiveNetImpulseNewtonSeconds,AvgBrakingForceNewtons,PeakPropulsivePowerWatts,PropulsiveNetImpulseNewtonSeconds,ForceAtMinDisplacementNewtons,LRAvgLandingForcePct,RightAvgLandingForceNewtons,LeftAvgBrakingRFDNewtonsPerSecond,PositiveImpulseNewtonSeconds,PeakBrakingForceNewtons,LeftForceAtPeakPropulsiveForceNewtons,LeftForceAtPeakBrakingForceNewtons,RelativeBrakingImpulseNewtonSecondsPerKilogram,LeftForceAtPeakLandingForceNewtons,LRBrakingImpulseIndexPct,AvgRelativeBrakingPowerWattsPerKilogram,TimeToTakeoffSeconds,FlightTimeSeconds,RightAvgBrakingForceNewtons,RelativeBrakingNetImpulseNewtonSecondsPerKilogram,LRPeakLandingForcePct,AvgBrakingVelocityMetersPerSecond,AvgLandingForceNewtons,PropulsivePhasePct,BrakingImpulseNewtonSeconds,LRPeakPropulsiveForcePct,LeftAvgLandingForceNewtons,JumpMomentumKilogramMetersPerSecond,BrakingNetImpulseNewtonSeconds,CountermovementDepthMeters,LRAvgPropulsiveForcePct,LRAvgBrakingRFDPct,RightForceAtPeakPropulsiveForceNewtons,MRSI,UnweightingPhasePct,LRPropulsiveImpulseIndexPct,LRPeakBrakingForcePct,AvgBrakingPowerWatts,BrakingRFDNewtonsPerSecond,PeakRelativePropulsivePowerWattsPerKilogram,LRLandingImpulseIndexPct,SystemWeightNewtons,BrakingPhasePct,PropulsivePhaseSeconds,JumpHeightMeters,PeakRelativeBrakingForcePct,RightAvgBrakingRFDNewtonsPerSecond,PeakPropulsiveForceNewtons,RightForceAtPeakBrakingForceNewtons,TakeoffVelocityMetersPerSecond,PropulsiveImpulseNewtonSeconds,ImpulseRatio,RelativePropulsiveNetImpulseNewtonSecondsPerKilogram,UnweightingPhaseSeconds,RightAvgPropulsiveForceNewtons,AvgRelativePropulsivePowerWattsPerKilogram,AvgRelativeBrakingForcePct,AvgPropulsivePowerWatts,PeakVelocityMetersPerSecond,RightForceAtPeakLandingForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,RelativePeakLandingForcePct,AvgPropulsiveForceNewtons,PeakRelativePropulsiveForcePct
25,1/13/2023,180,1,1069.0,0.72,196,9.13,1.65,-2777,-8138,0,1226.0,0.15,465,2247,5554,292,2773,43.01,68.0,5420.0,931,2820,1442.0,1482.0,3.03,3915.0,16.78,-17.8,0.77,0.55,1021.0,1.56,47.54,-0.98,240,36,336.15,4.0,171.0,290,173,-0.34,0.18,-3.5,1331.0,0.45,45,0.38,5.11,-1976,11233,50.03,,1089,19,0.28,0.35,259,5813.0,2773,1338.0,2.61,594.73,1.69,2.63,0.35,1065.0,28.49,206,3163,2.77,1392.0,5307,,487,2134,255
25,1/13/2023,180,2,986.0,0.71,191,9.41,1.63,-2967,-8116,0,1268.0,0.15,451,2319,5122,271,2927,1.51,115.0,5578.0,905,2970,1484.0,1531.0,3.07,3253.0,17.29,-19.1,0.79,0.56,1050.0,1.62,7.01,-1.03,234,34,339.94,1.57,119.0,269,180,-0.36,-5.17,-11.26,1438.0,0.38,47,-9.79,3.1,-2117,12571,46.2,,1088,19,0.27,0.3,273,6993.0,2922,1439.0,2.43,565.24,1.5,2.44,0.37,1094.0,26.96,213,2989,2.63,2827.0,6080,,559,2080,269
25,1/13/2023,180,3,1067.0,0.75,196,4.6,1.65,-3077,-8130,0,1223.0,0.15,475,2339,5382,288,2787,23.45,79.0,5853.0,936,2837,1451.0,1478.0,3.15,1585.0,8.81,-19.76,0.75,0.56,1116.0,1.68,-25.99,-1.04,207,37,350.04,4.13,128.0,285,187,-0.34,-0.01,6.55,1336.0,0.45,43,0.01,4.19,-2193,10987,48.5,,1089,20,0.27,0.34,261,5133.0,2787,1359.0,2.57,586.2,1.54,2.59,0.32,1067.0,28.31,215,3141,2.73,2698.0,4283,,393,2134,256
23,1/17/2023,256,1,1009.0,0.7,213,12.1,1.73,-2565,-7530,-8097,1143.0,0.14,410,2039,4815,261,2609,0.87,658.0,5859.0,765,2611,1380.0,1387.0,2.89,3465.0,21.68,-18.92,0.82,0.58,896.0,1.57,-2.86,-0.99,1327,30,274.39,5.83,669.0,260,149,-0.35,1.81,-5.61,1228.0,0.47,53,3.59,6.24,-1794,12415,50.78,1.73,930,16,0.25,0.38,281,6556.0,2608,1224.0,2.74,490.63,1.75,2.75,0.44,973.0,32.22,219,3055,2.84,3669.0,7134,690.0,767,1981,280
23,1/17/2023,256,2,1005.0,0.73,215,4.42,1.75,-2180,-7643,0,1010.0,0.14,401,1934,4851,261,2612,44.98,61.0,5936.0,758,2620,1330.0,1342.0,2.85,3684.0,8.51,-17.42,0.79,0.58,924.0,1.48,15.74,-0.97,223,31,269.86,1.84,161.0,259,140,-0.34,0.85,-1.89,1282.0,0.48,51,1.7,2.44,-1650,12100,51.21,,929,18,0.24,0.38,282,6164.0,2612,1278.0,2.73,487.74,1.87,2.75,0.41,988.0,32.48,208,3077,2.84,2682.0,6366,,685,1994,281
23,1/17/2023,256,3,1014.0,0.89,218,5.0,1.75,-2799,-8300,-8472,1141.0,0.12,410,2174,4882,260,2670,-10.48,768.0,6951.0,743,2674,1383.0,1386.0,2.79,3998.0,9.57,-20.19,0.65,0.58,1033.0,1.59,-4.31,-0.98,1391,36,264.33,3.6,622.0,257,151,-0.32,-0.07,-2.08,1287.0,0.58,45,-0.11,3.66,-1915,14197,51.45,-18.98,931,19,0.24,0.38,287,7246.0,2670,1288.0,2.71,478.35,1.72,2.74,0.29,1016.0,32.89,234,3121,2.82,4358.0,8356,600.0,898,2030,287
26,1/20/2023,180,1,1107.0,0.77,207,10.89,1.71,-3172,-8521,0,1347.0,0.14,472,2429,5463,291,2976,19.34,92.0,6467.0,888,3011,1561.0,1602.0,2.97,2842.0,19.65,-20.34,0.74,0.57,1082.0,1.65,-0.85,-1.03,228,34,325.84,4.91,136.0,290,181,-0.35,-0.72,-8.01,1415.0,0.48,48,-1.44,6.41,-2235,14059,49.71,,1078,18,0.25,0.36,279,7593.0,2976,1409.0,2.64,562.45,1.6,2.65,0.35,1123.0,30.67,225,3371,2.78,2891.0,5733,,532,2229,276
18,1/20/2023,3,1,1026.0,0.72,208,3.9,1.8,-1806,-6809,-16600,914.0,0.17,441,1760,6249,308,2505,22.19,551.0,4103.0,899,2505,1232.0,1233.0,3.01,2806.0,7.55,-13.77,0.84,0.6,846.0,1.31,45.77,-0.9,1416,34,305.45,-1.87,865.0,307,132,-0.37,-0.64,-5.37,1279.0,0.56,45,-1.28,-1.56,-1396,8672,61.65,36.35,994,21,0.29,0.47,252,4569.0,2511,1272.0,3.03,593.73,2.33,3.04,0.37,1039.0,33.69,177,3414,3.15,1044.0,3850,690.0,387,2064,253
18,1/20/2023,3,2,1027.0,0.75,209,2.09,1.77,-2237,-6456,-5931,976.0,0.16,452,1912,5989,304,2467,4.8,527.0,4191.0,890,2528,1217.0,1259.0,3.05,1447.0,4.15,-16.2,0.84,0.63,936.0,1.46,-6.77,-0.97,1106,33,308.92,-1.34,580.0,302,148,-0.38,-1.18,-8.18,1250.0,0.54,47,-2.32,-0.4,-1642,9130,59.09,9.15,994,19,0.28,0.45,254,4938.0,2467,1269.0,2.98,581.31,2.06,3.0,0.39,1052.0,33.36,192,3381,3.09,1657.0,3104,2780.0,312,2079,248
18,1/20/2023,3,3,1029.0,0.71,207,5.08,1.75,-1863,-6303,-5530,932.0,0.18,440,1774,6077,303,2447,9.93,583.0,4000.0,897,2449,1235.0,1241.0,3.07,2981.0,9.7,-14.25,0.85,0.61,842.0,1.34,57.81,-0.92,1296,33,311.46,0.94,712.0,301,136,-0.39,-0.28,-3.03,1212.0,0.53,46,-0.55,1.35,-1446,8250,59.89,18.07,995,21,0.28,0.45,246,4250.0,2447,1208.0,2.97,585.17,2.23,2.99,0.39,1035.0,32.79,178,3327,3.08,797.0,3778,990.0,380,2063,246
